SKU,Location,Quantity
HJ-7162,Subassembly,272
CA-5965,Subassembly,152
BE-2349,Miscellaneous Storage,443
CR-9981,Metal Storage,568
HB-M918,Frame Forming,260
FR-R72Y-38,Frame Welding,155
BK-M82S-42,Final Assembly,65
TT-M928,Subassembly,243
SE-R995,Final Assembly,153
BK-T79Y-46,Finished Goods Storage,65
HL-U509-B,Finished Goods Storage,216
TG-W091-M,Finished Goods Storage,0
BC-R205,Finished Goods Storage,324
FR-M63B-38,Frame Welding,150
BK-R64Y-42,Finished Goods Storage,104
CR-7833,Subassembly,475
FC-3654,Metal Storage,622
HJ-5811,Subassembly,368
HJ-1420,Subassembly,531
HN-5818,Miscellaneous Storage,144
HN-9161,Miscellaneous Storage,585
PA-823Y,Paint Storage,25
LN-5811,Subassembly,478
LI-5800,Miscellaneous Storage,283
HJ-1213,Miscellaneous Storage,360
FW-1000,Subassembly,392
DC-8732,Tool Crib,569
FW-T905,Metal Storage,432
BK-R68R-58,Finished Goods Storage,65
BK-R50R-48,Final Assembly,121
BK-M68S-42,Finished Goods Storage,102
BK-T18Y-44,Finished Goods Storage,88
FB-9873,Metal Storage,347
PD-R347,Miscellaneous Storage,177
BK-M18S-52,Final Assembly,116
SE-R908,Miscellaneous Storage,302
BK-T18U-54,Finished Goods Storage,128
BK-M82B-44,Final Assembly,100
TO-2301,Subassembly,278
SO-R809-M,Finished Goods Storage,252
BK-R64Y-48,Finished Goods Storage,56
CS-2812,Subassembly,476
LI-1200,Tool Crib,641
HJ-9161,Tool Crib,288
LR-8520,Tool Crib,310
LN-9161,Miscellaneous Storage,518
LN-1213,Tool Crib,640
LJ-3816,Subassembly,488
PA-187B,Paint Storage,14
PB-6109,Miscellaneous Storage,364
SA-R430,Subassembly,324
MS-2348,Metal Storage,337
HN-9168,Miscellaneous Storage,550
FE-3760,Metal Storage,574
HS-0296,Miscellaneous Storage,265
VE-C304-M,Finished Goods Storage,216
FR-M94B-38,Frame Forming,121
SA-T612,Final Assembly,224
BK-M68B-38,Final Assembly,88
BK-M82S-48,Finished Goods Storage,62
FR-R72Y-38,Debur and Polish,142
SE-M236,Final Assembly,195
DT-2377,Frame Forming,443
CR-7833,Tool Crib,622
LE-8000,Tool Crib,603
HJ-7162,Tool Crib,281
HN-3824,Subassembly,633
MP-2066,Sheet Metal Racks,441
PA-361R,Paint Shop,41
NI-9522,Subassembly,248
LN-3410,Subassembly,492
LN-3410,Tool Crib,616
LW-1200,Tool Crib,500
LJ-3816,Tool Crib,611
RM-R800,Miscellaneous Storage,334
GP-0982,Miscellaneous Storage,257
GT-0820,Subassembly,275
BK-T18U-62,Finished Goods Storage,54
BK-T79Y-54,Finished Goods Storage,35
LT-H902,Finished Goods Storage,180
HS-0296,Tool Crib,284
FR-M63B-38,Frame Forming,110
FW-M423,Subassembly,457
SD-9872,Miscellaneous Storage,124
BK-R68R-58,Final Assembly,83
HS-3479,Miscellaneous Storage,272
BK-T79Y-50,Finished Goods Storage,75
BK-T79Y-60,Final Assembly,100
BB-8107,Tool Crib,230
HN-1428,Miscellaneous Storage,270
LJ-3824,Subassembly,486
LJ-1220,Tool Crib,619
GT-1209,Tool Crib,248
EC-M092,Metal Storage,568
BK-R64Y-38,Finished Goods Storage,67
BK-R93R-56,Finished Goods Storage,112
BK-R50B-44,Final Assembly,81
BK-R50B-58,Finished Goods Storage,56
BK-M47B-38,Finished Goods Storage,75
BK-M82B-42,Final Assembly,116
PU-0452,Finished Goods Storage,288
HB-T721,Subassembly,297
PD-M562,Miscellaneous Storage,179
HN-5400,Tool Crib,657
LI-5160,Miscellaneous Storage,627
LE-1200,Miscellaneous Storage,347
SA-M237,Subassembly,320
LN-1420,Subassembly,502
HN-7162,Subassembly,459
CS-2812,Tool Crib,585
HJ-5161,Miscellaneous Storage,689
SE-T924,Final Assembly,276
BK-R19B-48,Final Assembly,56
BK-T44U-54,Finished Goods Storage,30
BK-M82B-48,Finished Goods Storage,88
BK-M68B-46,Finished Goods Storage,75
BK-M47B-44,Finished Goods Storage,32
SH-9312,Miscellaneous Storage,587
GL-F110-M,Finished Goods Storage,108
BK-R89B-48,Finished Goods Storage,116
BK-T79Y-54,Final Assembly,40
CS-4759,Subassembly,284
FW-7160,Final Assembly,337
FW-1200,Subassembly,388
LW-3800,Subassembly,628
MP-2503,Sheet Metal Racks,689
MS-0253,Metal Storage,427
HN-5818,Subassembly,369
HN-5811,Miscellaneous Storage,140
HN-7161,Miscellaneous Storage,780
LI-1201,Subassembly,371
BK-R89B-44,Final Assembly,78
HB-R720,Frame Welding,264
SM-9087,Final Assembly,371
BK-M47B-48,Final Assembly,76
BK-R50R-60,Finished Goods Storage,99
BK-R50R-60,Final Assembly,86
LJ-0192-S,Finished Goods Storage,144
BK-T18Y-62,Final Assembly,72
TI-M602,Miscellaneous Storage,385
BK-R79Y-44,Final Assembly,60
BK-M18S-44,Final Assembly,30
FW-1000,Final Assembly,339
BE-2349,Subassembly,324
SA-T467,Subassembly,328
SA-M198,Subassembly,318
SD-2342,Subassembly,209
LW-4000,Miscellaneous Storage,576
AR-5381,Subassembly,353
AR-5381,Tool Crib,408
LI-3800,Tool Crib,417
HU-6280,Frame Forming,246
HN-8320,Tool Crib,281
BK-R79Y-42,Final Assembly,81
BK-R50B-58,Final Assembly,78
BK-R50B-62,Finished Goods Storage,100
BK-R89R-44,Finished Goods Storage,112
BK-R50B-60,Final Assembly,49
FR-M94B-38,Final Assembly,137
TT-R982,Subassembly,241
FR-M21B-40,Paint,88
HN-3410,Miscellaneous Storage,276
LE-1400,Miscellaneous Storage,340
CA-6738,Subassembly,132
FW-3800,Tool Crib,321
HJ-3416,Tool Crib,368
MA-7075,Metal Storage,324
SA-R430,Miscellaneous Storage,273
RM-T801,Miscellaneous Storage,640
NI-9522,Tool Crib,254
LN-9080,Miscellaneous Storage,515
LN-3416,Subassembly,488
LJ-5818,Tool Crib,617
SA-M687,Final Assembly,216
LI-1400,Miscellaneous Storage,316
BK-T44U-60,Final Assembly,49
SE-T312,Final Assembly,382
BK-M18B-52,Finished Goods Storage,123
BK-R93R-56,Final Assembly,51
CL-9009,Finished Goods Storage,36
FW-R820,Subassembly,232
FW-R623,Subassembly,460
SM-9087,Miscellaneous Storage,425
BK-R79Y-40,Finished Goods Storage,99
HN-3416,Subassembly,638
HN-5162,Tool Crib,292
MS-1981,Metal Storage,374
LN-1032,Tool Crib,636
LN-6320,Tool Crib,608
LW-1200,Miscellaneous Storage,568
LW-1400,Miscellaneous Storage,571
LN-5162,Subassembly,472
LJ-9080,Tool Crib,627
MP-2066,Metal Storage,390
HJ-7161,Tool Crib,585
LI-5160,Tool Crib,572
LE-3800,Miscellaneous Storage,587
FR-M63B-38,Paint,96
HS-3479,Tool Crib,291
FW-M762,Subassembly,412
SJ-0194-X,Finished Goods Storage,72
BK-R68R-60,Finished Goods Storage,75
BK-R93R-48,Finished Goods Storage,32
BK-T44U-54,Final Assembly,99
BK-M18S-48,Finished Goods Storage,99
BK-R19B-44,Final Assembly,30
SE-R581,Subassembly,321
PD-M282,Miscellaneous Storage,182
CH-0234,Tool Crib,236
HN-1024,Tool Crib,291
HN-3824,Miscellaneous Storage,526
HN-4402,Subassembly,385
HJ-3416,Miscellaneous Storage,358
MS-2348,Sheet Metal Racks,331
SA-R127,Final Assembly,217
LJ-9080,Miscellaneous Storage,521
LN-1428,Tool Crib,620
LJ-1220,Miscellaneous Storage,513
LI-8000,Subassembly,384
LN-5400,Miscellaneous Storage,492
LN-3816,Subassembly,483
LN-3816,Tool Crib,606
LJ-1420,Miscellaneous Storage,512
MA-7075,Frame Forming,404
CA-7457,Metal Storage,184
HN-5400,Subassembly,460
LE-1201,Subassembly,312
LE-1200,Subassembly,315
HT-2981,Frame Forming,404
TI-R092,Miscellaneous Storage,236
SH-4562,Subassembly,619
BK-R50R-58,Final Assembly,51
RW-M928,Subassembly,387
PD-T852,Tool Crib,235
LE-1201,Tool Crib,307
LE-8000,Subassembly,459
LN-9080,Tool Crib,620
